"","Date","Gasoline_Prices"
"1086",2011-06-06,3.833
"1087",2011-06-13,3.767
"1088",2011-06-20,3.708
"1089",2011-06-27,3.631
"1090",2011-07-04,3.634
"1091",2011-07-11,3.695
"1092",2011-07-18,3.736
"1093",2011-07-25,3.754
"1094",2011-08-01,3.766
"1095",2011-08-08,3.73
"1096",2011-08-15,3.662
"1097",2011-08-22,3.638
"1098",2011-08-29,3.682
"1099",2011-09-05,3.727
"1100",2011-09-12,3.715
"1101",2011-09-19,3.657
"1102",2011-09-26,3.568
"1103",2011-10-03,3.492
"1104",2011-10-10,3.476
"1105",2011-10-17,3.533
"1106",2011-10-24,3.52
"1107",2011-10-31,3.511
"1108",2011-11-07,3.482
"1109",2011-11-14,3.495
"1110",2011-11-21,3.427
"1111",2011-11-28,3.368
"1112",2011-12-05,3.35
"1113",2011-12-12,3.346
"1114",2011-12-19,3.29
"1115",2011-12-26,3.317
"1116",2012-01-02,3.358
"1117",2012-01-09,3.441
"1118",2012-01-16,3.451
"1119",2012-01-23,3.45
"1120",2012-01-30,3.5
"1121",2012-02-06,3.542
"1122",2012-02-13,3.584
"1123",2012-02-20,3.652
"1124",2012-02-27,3.78
"1125",2012-03-05,3.849
"1126",2012-03-12,3.884
"1127",2012-03-19,3.923
"1128",2012-03-26,3.973
"1129",2012-04-02,3.996
"1130",2012-04-09,3.997
"1131",2012-04-16,3.98
"1132",2012-04-23,3.929
"1133",2012-04-30,3.889
"1134",2012-05-07,3.849
"1135",2012-05-14,3.814
"1136",2012-05-21,3.773
"1137",2012-05-28,3.728
"1138",2012-06-04,3.671
"1139",2012-06-11,3.629
"1140",2012-06-18,3.589
"1141",2012-06-25,3.494
"1142",2012-07-02,3.415
"1143",2012-07-09,3.469
"1144",2012-07-16,3.485
"1145",2012-07-23,3.554
"1146",2012-07-30,3.568
"1147",2012-08-06,3.702
"1148",2012-08-13,3.779
"1149",2012-08-20,3.803
"1150",2012-08-27,3.837
"1151",2012-09-03,3.903
"1152",2012-09-10,3.907
"1153",2012-09-17,3.939
"1154",2012-09-24,3.889
"1155",2012-10-01,3.866
"1156",2012-10-08,3.914
"1157",2012-10-15,3.886
"1158",2012-10-22,3.756
"1159",2012-10-29,3.638
"1160",2012-11-05,3.563
"1161",2012-11-12,3.518
"1162",2012-11-19,3.497
"1163",2012-11-26,3.505
"1164",2012-12-03,3.463
"1165",2012-12-10,3.419
"1166",2012-12-17,3.324
"1167",2012-12-24,3.328
"1168",2012-12-31,3.369
"1169",2013-01-07,3.373
"1170",2013-01-14,3.377
"1171",2013-01-21,3.386
"1172",2013-01-28,3.427
"1173",2013-02-04,3.604
"1174",2013-02-11,3.677
"1175",2013-02-18,3.812
"1176",2013-02-25,3.851
"1177",2013-03-04,3.826
"1178",2013-03-11,3.779
"1179",2013-03-18,3.764
"1180",2013-03-25,3.746
"1181",2013-04-01,3.714
"1182",2013-04-08,3.676
"1183",2013-04-15,3.611
"1184",2013-04-22,3.603
"1185",2013-04-29,3.587
"1186",2013-05-06,3.602
"1187",2013-05-13,3.665
"1188",2013-05-20,3.729
"1189",2013-05-27,3.704
"1190",2013-06-03,3.705
"1191",2013-06-10,3.715
"1192",2013-06-17,3.689
"1193",2013-06-24,3.645
"1194",2013-07-01,3.567
"1195",2013-07-08,3.563
"1196",2013-07-15,3.706
"1197",2013-07-22,3.751
"1198",2013-07-29,3.716
"1199",2013-08-05,3.701
"1200",2013-08-12,3.633
"1201",2013-08-19,3.622
"1202",2013-08-26,3.623
"1203",2013-09-02,3.678
"1204",2013-09-09,3.658
"1205",2013-09-16,3.619
"1206",2013-09-23,3.567
"1207",2013-09-30,3.499
"1208",2013-10-07,3.441
"1209",2013-10-14,3.43
"1210",2013-10-21,3.435
"1211",2013-10-28,3.372
"1212",2013-11-04,3.343
"1213",2013-11-11,3.274
"1214",2013-11-18,3.298
"1215",2013-11-25,3.372
"1216",2013-12-02,3.353
"1217",2013-12-09,3.35
"1218",2013-12-16,3.321
"1219",2013-12-23,3.351
"1220",2013-12-30,3.409
"1221",2014-01-06,3.411
"1222",2014-01-13,3.406
"1223",2014-01-20,3.376
"1224",2014-01-27,3.375
"1225",2014-02-03,3.372
"1226",2014-02-10,3.388
"1227",2014-02-17,3.457
"1228",2014-02-24,3.52
"1229",2014-03-03,3.553
"1230",2014-03-10,3.584
"1231",2014-03-17,3.619
"1232",2014-03-24,3.622
"1233",2014-03-31,3.651
"1234",2014-04-07,3.67
"1235",2014-04-14,3.725
"1236",2014-04-21,3.758
"1237",2014-04-28,3.788
"1238",2014-05-05,3.761
"1239",2014-05-12,3.746
"1240",2014-05-19,3.743
"1241",2014-05-26,3.75
"1242",2014-06-02,3.765
"1243",2014-06-09,3.749
"1244",2014-06-16,3.76
"1245",2014-06-23,3.778
"1246",2014-06-30,3.778
"1247",2014-07-07,3.753
"1248",2014-07-14,3.712
"1249",2014-07-21,3.671
"1250",2014-07-28,3.617
"1251",2014-08-04,3.595
"1252",2014-08-11,3.582
"1253",2014-08-18,3.549
"1254",2014-08-25,3.532
"1255",2014-09-01,3.536
"1256",2014-09-08,3.534
"1257",2014-09-15,3.485
"1258",2014-09-22,3.432
"1259",2014-09-29,3.434
"1260",2014-10-06,3.382
"1261",2014-10-13,3.292
"1262",2014-10-20,3.205
"1263",2014-10-27,3.139
"1264",2014-11-03,3.077
"1265",2014-11-10,3.025
"1266",2014-11-17,2.978
"1267",2014-11-24,2.907
"1268",2014-12-01,2.864
"1269",2014-12-08,2.767
"1270",2014-12-15,2.643
"1271",2014-12-22,2.496
"1272",2014-12-29,2.392
